SENTENCE	SLANG_TERM
Just like the old days .	melt
I will knock you so far down you 'll be with your edgy , freak of a boyfriend , putting grapes	freak of a boyfriend
But when I see you in the building , you always seem very busy .	doctor
Look , we 've been to a million weddings .	a million
You do n't wan na meet my brothers	wanna
- Yo , you remember that dime from last week ?	dime
You just ca n't put me on watch dog anymore , all right ?	watch dog
If not for this prick , I would n't have had to .	prick
It was written by Roger Waters of Pink Floyd .	didn't
I 've got the munchies badly .	munchies
All the players came in and I realised that we were knocked out .	knocked out
Fiona , we got ta go now .	gotta
See you in a bit , yeah ?	yeah
Let me just talk to you , man .	man
Come on let 's get cracking .	cracking
Mark , my -- my first husband he tried to , uh , kill me more than once .	uh
We about to sticky-sticky-sticky start this show , you know what I 'm sayir ?	sticky
We were just '' C'mon , let 's get building , go out there and do it . ''	c'mon
- I see you ai n't going nowhere .	ain't
This place is run like a clock .	clock
Well , everyone here 's a big kid .	kid
I wanted to sort this shit out .	shit
'Cause you 'd be putting a noose around your own neck .	'cause
Do I look fat to you , bruv ?	bruv
You ai n't getting shit , bruv .	ain't
It better make you funnier .	it better
- Dude , she 's 15 years old , man .	dude
You got your drink tapped with meth , nig .	nig
♪ She got loved up on the seashore ♪	loved up
Vicki 's making eyes at you , man .	making eyes
This time , I want to be deputized .	deputized
And did you really call me '' Lollipopolis '' ?	lollipopolis
But look , there-there 's plenty to drink , plenty to eat , um , places to crash .	crash
You are not going to wimp out on me now , are you ?	wimp
She wanted to hang out .	hang out
I want them ones , Mum .	them ones
We was just six young lads who were enjoying life like you could n't believe , really .	lads
Why do n't you do the math , okay ?	do the math
You put this shit on the accelerator , go when I yell , '' Go . ''	shit
Junkies are people who do n't know who they are .	junkies
We 're gon na have to use the ...	gonna
Bugs , put the birds in the water .	birds
He lived with his mother till he was 40 .	till
I was trying to get them off .	off
You 're really testing me , bro .	bro
Look , I do n't know what 's going on between y'all , but I wan na get high , so I 'm leaving .	wanna
Feel free ... tell me what you think .	free
That 's why I think you should turn , go back , and be a lawyer or something .	turn
I 'm starting to rant , that 's not part of my job description .	starting to rant
I always thought you were gon na be a high flyer .	high flyer
I could kill Jackson right now .	veto
I 'm gon na tell you , you fucking with the wrong one , son .	son
If you could cross over here so easily , why did n't you just deliver the freaking bomb ?	freaking
Uh , Luke , it is , uh , Luke , right ?	uh
You 're clueless law in the Wild West , Damon .	clueless
Or I 'll just have to pop you in the bottle with one of my special potions .	play the fool
Yeah right , go to bed .	yeah
I want a block on the fucking phone !	block
I live in a tent and so do you .	tent
♪ Tryin ' to do us over , we ai n't having ' that ♪	ain't
- I thought you was winding us up .	wind us up
Who drinks a brew that big ?	brew
We 'll be back to 65/ 70 , and I 'll be fine .	hold it
Yeah , I 'm your sexy little wormhole !	wormhole
There was nothing wonky about my upbringing , my parents were decent ... respectable and upstanding members of society .	wonky
Do you know how long he 's gon na be here ?	gonna
- Do you want it , fella ?	fella
I ai n't gon na tell them you pregnant .	ain't
I 've found my ability to forgive but mostly I am so happy to see you .	eric
You get a big cold chisel drop a sledgehammer on it , 're sorted , man .	sorted
Just in time for him to murder his wife and kids .	kids
I know it sucks , but maybe it 's the universe telling you , you need to be there .	sucks
Then he cut us off .	cut us off
Baby 20 minutes ago you did n't remember their names .	baby
You 've nicked stuff , and you break stuff .	nicked
Nelson says he 's got a pretty little baby helping him out .	pretty little baby
My wife 's had an accident with some Quaaludes .	quaaludes
You take a journey and discover yourself .	journey
Because this type 's whole trip is that he 's got to be the one giving the pleasure here .	trip
You just gon na leave the bodies here ?	gonna
Now remember it 's no good being clever , you 've got to be the cleverest , yeah ?	yeah
Hope you like meth , bitch !	bitch
'Cause you only live once , right ?	cause
I know them better than you do , you muggy cunt .	muggy
* You are gold ... ( Harry ) Oh , shit .	shit
And then I got the news that she passed away .	nice
This one guy from this filthy nowhere estate over yonder , the Rise , I think they call it .	yonder
I 'd have kicked his ass !	ass
What the hell 's the matter with you ?	the hell's the matter
I could pimp that ass out .	pimp
You wan na step in the hall with us ?	wanna
All right , come on , do n't bullshit me .	bullshit
Yeah yeah , tomorrow is better .	yeah
- I went back to her house , bruv .	bruv
Open up a Linux terminal and start an Nmap , dude .	dude
Listen , sweetheart , I came to say ...	sweetheart
Are you OK , me old mate ?	mate
You 've got to be kidding me .	kidding
If I ca n't afford to make the distinction ... you think I 'm an asshole because it 's fun ?	asshole
Casey has the hottest rack .	rack
I know I do not back Sonny .	sonny
- Are You pluggin ' drugs in my pub ?	pluggin'
I do n't like it here , Mum .	mum
Babe , if you want to chill at the beach , then , we can catch up later , yeah ?	chill
It was that sort of scrubby , huge Jiffy bag on reception .	jiffy
( laughs ) No , I 'm not saying you 're a bird .	bird
We 're in a position to help .	position to help
- Your , uh , squad : is gon na have a real tough time when , technically speaking , you do n't exist :	squad
Oh , yeah , quick , put that down .	yeah
What did the chief elder mean when she said we can not afford another failure ?	elder
The league title , their starter for three , is within reach .	starter for three
We were part , probably , of a revolution , in a way .	revolution
I 'm not gon na do anything you do n't want me to .	gonna
Do n't want winter in the house now , do we ?	winter in the house
You want to know where your papa really was when you were in hospital with broke leg ?	papa
I got a perp on trial for robbery and murder .	perp
Matt says he can hit the crap out of anything .	crap
You can suck this dick , mate .	dick
Two Ns , two Ls , with an E .	ns
You keep this up and I 'm a pop you right here , you understand ?	i'm a pop
Putting 50 % leverage on toxic debt made them true .	toxic debt
Well , you may not have traded , but you try telling the Feds you did n't commit a felony .	feds
I ca n't believe my eyes , mate .	mate
She actually thought I was awesome .	awesome
I think they got freaked out when they saw a needle come out .	freaked out
- What time is it , Mummy ?	mummy
Michael , would you put these lovely flowers in some water , please ?	lovely
Drop the cash with him , and his mate back in the UK gives you the same amount minus his 10 % fee .	drop the cash
If I go through all this stress , I lose my fucking money over it , everything , then you got to chat to someone proper , yeah ?	yeah
That 's way off base , Frank .	base
When I was a kid or something .	kid
- It 's part of the game .	game
I 'm in a locked room , dude .	dude
He 's kind of a jerk .	jerk
Hey , Sack , how long have you and Claire been seeing each other ?	seeing
He keeps calling baby and he thinks I 'm his wife .	baby
Everything and everyone can suck it .	suck it
WHAT , YOU MEAN LIKE GHOSTS ,	spookies
Looked like a big lesbian mule .	big lesbian mule
It 's just a little trick I learned in College .	chuckles
You 're gon na go and get us tickets for the match tonight .	gonna
I was very drunk and er ...	er
When all that male bullshit is over .	bullshit
And now you just made the biggest mistake tryin ' to kill me .	tryin
We have worked very hard for many years , suffered many tragic setbacks in an attempt to find and communicate with your world .	dual offspring born of the same litter
¶ Hooray up she rises ¶	hooray
No restriction on content , all traffic treated equally .	traffic
I wan na kiss that man .	wanna
I do n't wan na sound like a rooster taking credit for the dawn , but turning $ 100 million into $ 1 . 1 billion in this market , takes some brains , right ?	rooster
She said the affairs have been miserable for her .	affairs
Did they get off okay ?	get off okay
I bet that feels better , huh ?	huh
You gon na let your kid brother chew your grass ?	gonna
Listen , cheers for that , by the way .	cheers
Yeah , I know I 'm gon na be	yeah
I bet she 's hotter than you .	hotter
I made you in the record store the minute I saw your dorky face .	made
Bing -- bing -- binghamton , new paltz .	bing
This happens all the time Ohm !	ohm
But then why does somebody put a snake in your car , huh ?	huh
I 'll be leading the squad on this one .	squad
Yes , well that 's not going to work with me and Lily is it ?	work
Well , what brings anyone to this city ?	brings
What 's wrong with you people ?	wrong
Come here and give me a big hug .	hug
Yeah , you were always the quiet one , were n't you ?	yeah
Your sister 's driving all the way in .	in
I thought he still had a pair of balls hanging between his legs .	gonna
- Yeah , and you know what ?	yeah
Do n't you ever get cold being bottomless ?	get cold
and the hoop of life .	hoop
Do n't mince words with me , Joe .	mince
I wish I had talent , something like you .	dang
Nah , that 's not the one !	nah
No , and I know that I can be withdrawn at other times , and that I can be hard to be in this with , okay ?	okay
You 're gon na have to stay here in the cubicle.|	gonna
Right now , neither of her parents are considered suspects by the authorities , but there is some interest being paid to a neighbor .	yes
Do n't you feel like you 're over your head , handling a number one pick ?	over your head
I 'm gon na cut to the chase .	gonna
But I did run down all the missing parts for her .	run down
What I 'm tryin ' to tell you is , there ai n't no Volvos here .	ain't
Jesus , I ought to ... the amount of fucking time I spend in baggage .	ought
[ IN NORMAL VOICE ] Of course , like all kids , I had imaginary friends , but not just one .	kids
Now do n't you start , Zoe .	start
Do you wan na hear it ?	wanna
One of us is gon na have to go at it , Kim .	gonna
That 's probably a little closer to it .	asperger's spectrum
Yeah , and his wife , Sharon .	yeah
You know where he live ?	live
Because this is all just falling forward .	falling forward
- Is there something wrong with my fork ?	fork
Why the hell do you care what I think ?	hell
'And , and I-I did my best with mine , 'so a lot of these mothers and fathers has to be blamed for this as well !	kids
You 're well out of line .	well
You got a place on the other side of the park .	place
I 've looked at the American stats and ...	stats
Running to the cops in the middle of the night ,	running
Well , you 're the expert , ai n't you ?	ain't
You want to check whether that 's OK with our guests ?	ok
We 're gon na think of something .	gonna
- You should buy boxer shorts .	boxer shorts
Now , want the names and addresses of the men you pimped them to .	pimped
Who the fuck is this dude ?	dude
Another cheery welcome to Dayton for your fucking cold calls .	cold calls
I 'm not having this shit telling me what I can and ca n't say !	shit
Making out in the street .	making out
- Would you like a cup o ' tea mate ?	o'
What was the elders decision ?	elders
And , erm , I 've got something in here .	erm
Be the best weirdo you can be .	weirdo
I 've dreamed about being here my whole life , man .	man
Hey , boy , get that camera out of my face , man .	boy
She packed her bags and said that I would not look for her .	packed
How 'd a pussy bitch like you ever beat BTRO ?	pussy
What 's he gon na do , call the police ?	gonna
For Christ 's sake , it 's the one thing that 's certain in life .	for christ's sake
I 'm surprised you saw it so easily though .	it so easily
Want to yank my site , you go ahead .	yank
Yeah , well , that was before all this shit .	shit
like she could have just shoved this thing .	shoved
I am a Wall Street guy .	wall street guy
Yeah , you want to dance ?	want to dance
And now it 's gon na come for us !	gonna
All right , at the height of lovemaking , you know , the very height , when she 's starting to climax , and she 's really responding to you now , you know , her eyes widening in that way	climax
Like kissing a fanny . ( pussy )	fanny
He 's gon na be pissed off when he wakes up .	pissed
You 're kind of shitting on his memories , Dad .	shitting on
If you wanted to talk , man , you 're just gon na have to come out .	gonna
( Dad ) Why are you so bloody morbid ?	bloody
Maybe he 's just trying to find his own way , his own path .	own path
Tommy Douglas ... was my best mate .	mate
Guys , he is burning up .	burning up
Look at t'moosh on him .	t'moosh
That 's gon na be our fucking centrepiece .	gonna
YEAH , NOT '' FAT FANNY , THE TRANNY GRANNY . ''	yeah
Truvy , I got some candy in my purse .	hold on
To look over to a bench that thought they 'd won a game , and they 've lost it , is the greatest feeling in the whole wide world .	greatest feeling in the whole wide world
She was afraid of the dark .	afraid of the dark
It 's an ID for this whole area , Nic .	id
There is a bit , yeah , ' cause you wear it all the time , boss .	yeah
Josh , we have to get off this thing , cos if they find us here ...	cos
I got to get back to shaking my tin cup .	tin cup
We are the murder weapon .	weapon
Yeah , well , I just thought , like .	yeah
Nevertheless , you are his only living relative .	living relative
It 's a real turn-off , darling .	darling
We made a mistake , that 's all .	informal conversation to express  frustration
Blood , do n't be stupid , man !	man
Dayum , you still out here in the mo suckir 242 ?	dayum
She gets her info , he gets to talk to a hot senior .	hot
You think he wo n't haul your ass right back into lockup ?	lockup
- A lot more than the cash .	cash
♪ ' Cause I 'm ready to die ♪	cause
And Jason or Christopher if it 's a lad .	lad
Yo , you know what BTRO told me that night , huh ?	yo
I 'm involved with Trey Hannigan and you ca n't get it up .	up
And I want you humming on my balls .	balls
The one you see standing in front of you right now on his own two .	his own two
Do n't you think you 're getting in a bit over your head here ?	over your head
You win some , you lose some , right ?	kid
He wo n't end up like the Yorkshire Ripper !	ripper
He punked me out , Sean .	punked
You know nothing about me !	bastard
- Oh , sarcasm , I get it .	sarcasm
I gave her a bit of stem .	bit of stern
So let 's take a moment to lift up our glasses to Ty .	lift
When you talk about it , it sounds boring .	game
Tomorrow , I 'm going to beat your fuckir boyfriend .	beat
Skip , we 're gon na make it .	skip
Do you think we should break this off ?	break
Come on , empty your pockets .	empty your pockets
A nice handful , I love it , but more than that , it 's like no !	handful
Look , I do n't know what I said to you in there that got you so pissed off but I 'm sorry , Charlie , all right ?	pissed
Chink and Dead Fish , but we did n't get any bookings .	chink
You 'll come up to half minus .	half minus
♪ They say that it may take a while ♪	take a while
You are a terrible person for doing this to me !	wha
Him and I and the slaughter days .	slaughter
Is you are gon na go on , call the number on your ticket ...	gonna
I 've been in a lot of scrapes .	scrapes
Before he rolled up into that match ?	rolled
And it was cool , it was good fun .	cool
Just drink the juice , baby .	drink the juice
Oh , me mum must have picked some right saddos , I swear down .	saddos
I told them that you wanted to go on a test drive and they trust me .	test drive
I 'm gon na show you how .	gonna
# See the music I consume to escape the doom and gloom #	doom and gloom
I 'll let them know up front that you 'll be here a while .	up front
Every time you slept with me , you called me Jenny .	slept
Do n't forget the rules , man .	man
You wan na sort out your inner calm .	wanna
Like , I 'm worried that they 're gon na end up a little ...	gonna
What about moral hazard , Jack ?	again and again
- it 's a piece of piss .	piss
It 's like a battleground , innit ?	innit
Someone overheard Nick Stevens at an Endeavor meeting , and someone brought my name up , and he said , '' I wish I 'd gotten hold of Steve Coogan when he was 35 . ''	gotten
Get a call from this bitch here , from Faith 's cell , telling me her new number , where she lives in Atlanta .	bitch
She was my childhood sweetheart .	sweetheart
Yeah , but we have to keep him nice and clean , do n't we ?	yeah
So homeboy and me are done .	homeboy
And you will realize what 's missing in your life .	missing in your life
Yeah , I 've missed you , too .	yeah
He 'd been locked in and he 'd taken a hiding .	hiding
When she twirls , it wo n't get so far away from her body here , but it will here .	twirls
# It 's such a sweet sensation	good vibration
It 's just -- you want my gut on this ?	my gut
Oft in lonely rooms'mid the din of towns and cities	'mid
And then let off two shots within inches of this kid 's head ?	within inches of
Who 'd have thought that would catch on , eh ?	eh
Maybe we should have a wee dance ?	wee
- You gon na take that from her ?	gonna
He had to take her off the market .	market
`` As the old proverb say , '' Slowly , slowly , catchy prawn . ''	catchy
Can you spare , like , three hours for me ?	spare
You ca n't say'cause you did n't get shit .	shit
There 's a cop car coming .	cop
Babe , you know Maria forgot to put my shoe stretchers in again ?	babe
- She flipped out and attacked me .	flipped out
Ok everybody that 's a cut !	cut
I suppose you 're wondering what I 'm doing with this can of gasoline ?	can of gasoline
The job ai n't hard enough without this knucklehead .	knucklehead
We could keep some of it though could n't we , like a reward ?	get in
- You gon na help me with this or what ?	gonna
There 's clearly no sign of foul play .	foul play
You got an honest face , and they 're gon na tell you everything .	face
You can drill a loser all night long , and in the morning , you still got a loser :	drill
Was in The Bird till closing .	till
That 's pretty good , is n't it , eh ?	eh
Are you saying you wan na work for this company , jumped through every hoop to get here but you do n't know who they are ?	wanna
How else did you think it was gon na be ?	gonna
All right , then , what 's that time gon na be on Sunday ?	gonna
I do n't even want to know what that shit is .	shit
Okay , this is seriously cool .	cool
Yo , he 's the real deal .	yo
He must 've been riding those brakes like an old lady .	old lady
Do you want me to meet you at your house ?	there are no slangs in this sentence
Get a lungful of that air , eh ?	eh
He 's either dead or a vegetable .	vegetable
I 'm guessing Eddie must have at least 250 large stashed at his place .	large
No more blood on my hands .	blood
- Yeah , of course i do	yeah
I 'm gon na be the man who 's growing old with you	gonna
God knows you 're not , Eddie , but your name came up in the computer , pal .	pal
Now you want to see me bust , motherfucker ?	bust
Ca n't you get your cock hard any more , old man ?	cock
Honestly , Kate , this place smells like rhinos .	smells like rhinos
you know , after the pas de deux , when he finishes here ...	pas de deux
You do n't often hear people say ..... '' Ooh , since he 's been taking them drugs , he 's such a nice person . ''	ooh
At the time Miller disappeared , Elmer was in a steamy private chat with the first tenor of the Men 's Chorus of Greater Tacoma .	steamy
Your nanny has certainly arrived .	nanny
I 'm all busted up , cap .	busted up
If you do n't , something 's wrong with them .	something wrong with them
My mom , she had a real gift for hooking up with jerks .	jerks
`` She has not been seen since .	capri
I do n't wan na sound like I 'm not happy you 're here .	wanna
- Gentlemen , nice job there today .	gentlemen
All the doors are locked , babe .	babe
The mayor 's wife and she does n't even bother to put on Spanx .	spanx
You 're gon na be okay now .	gonna
You think you gon na get some ass to keep your mouth shut ?	ass
`` after a long battle with colon cancer ,	battle
Dying in some shithole country for nothing .	shithole
- '' We 're gon na torch the trucks '' ?	gonna
Eddie , I 'm worried this is how the Yorkshire Ripper started .	ripper
I 'm going to need you to hook yourself up to that IV .	hook
I wan na step up as badly as you do !	wanna
I just heard the vic , Simon Campbell , has regained consciousness up at Covenant Hospital , so I 'm gon na head over there and question him , all right ?	vic
It 's just something Lou said about not waiting , you know ?	waiting
Uh , if you see your brother Erik , let him ...	erik
[ store clerk ] I bet this is for someone special .	someone special
I got two conditions that need to be met before we do anything .	to be met
You 're gon na be doing that , which is its own thing .	own thing
You gon na give me some love ?	love
His mum wants me to find whomever 's responsible for her son 's death .	mum
I 'm gon na need some I.D .	gonna
Did you call the number , chief ?	pig
Do n't look at me like that .	don't
What 's Lacy doir up in here ?	doir
- Dude , you look like shit .	shit
Jamesy Boy would know that guns are a shit business .	shit
I 'm just beyond pissed off , dude .	pissed
♪ Freaky freaky raving ♪ ♪	freaky
Picking on a fucking kid , was you ?	kid
If the meat van makes a delivery to the pub , we 'll know it 's sound .	sound
I only hope that the old ticker will stand it .	old ticker
Oarter , maybe ... maybe you should go back to your apartment , and do n't worry about these things .	oarter
The pips have gone and I 'm out of change .	pips
Today we 're gon na work on manners and respect :	work on
Kinda running out of choices really ...	kinda
I just wan na talk , man Come on .	wanna
And it was fair to our unborn child that the parents are n't gon na just walk away from each other .	unborn
When I saw her the next day ...	truckload
Bugs , how you making out ?	making out
You got ta be on the light .	light
Dude , can you stop saying that ?	dude
I was a real pain in the ass , was n't I ?	pain in the ass
So you building a sand castle or what you got going on there ?	sand
God , there 's so much drama going on right now .	drama
♪ You 're the loser ♪	loser
Yo , y'all ai n't seen Sabrina around , have you ?	yo
I 'm gon na give you some good advice , Brian Clough .	gonna
One thing I know how to do is make some pretty babies .	make some pretty babies
I did n't do it for the money .	shit
You know , it 's not like down south , Rob .	down south
Or are you going to apologise for being the absolute prick that broke my heart ?	prick
Youre more than welcome to hang out here tonight , in fact I hope that you will .	hang out
It 's only gon na be a bit of bird .	gonna
Who put such a high premium on being typical ?	premium
Put your knob away , Chris , we 're just mucking about .	knob
Can you imagine what it takes to tell you this , that I 'm terrified , that it 's even possible that the pattern of sending out mixed signals and pulling away is just another way of pulling away ?	mixed signals
I believe in demons and worms ... vile shit in the grease trap of the universe .	shit
Oh , yeah , I guess so .	oh
Got a live one , Gert .	got a live one
I really do n't think ... [ door opens ]	mano a mano
Most people , they lose , they whine and quit .	whine
I got ta go and smack Cathy around to find out where the fuck she actually went to .	smack
- Gon na have to break his back .	gonna
You know , actually I applied to work at Closet Queens but they said there 's already a gorilla filling that position .	gorilla
By now , honey , you know him much better than I do .	honey
It 's hot as balls in here .	balls
A-Rod lines a shot to center .	lines a shot
Well , there is only so much of that shit I can handle .	shit
We got a lot of work to do .	daddy
I 've got to tell you , mate , you 're a good geezer , man .	mate
The mother of all evil is speculation .	mother
I 'll be forced to give you a little hide of myself .	hide
It does n't matter right now !	babies
He 's an unsettled lad , but he 's desperate to speak to you .	lad
Chicken , do n't upset your mum , eh ?	eh
There 's no judgey vibes coming from this side of the bed .	vibes
' Til we meet once again , you and I	'til
Come on , Jimmy , let 's move !	let's move
See ya in an hour .	ya
The roads 'll all be blocked .	'll
I 'd like to see you make me , you Caltech turncoat .	make me
Oh , God , I 'm gon na be sick .	gonna
No no , there 's no time to explain all this right now .	commotion
They knew where we were going .	perpetrators
Get this thing off me !	thing
Yo , bitch , I been pagir yo ass all fuckir night , nigga !	yo
One , two , three , four , five , six , seven , again : !	rock beat
There are some lovely head shots Of the area reps in there .	reps
You gon na do more magic on me ?	gonna
I read The Guardian , for God 's sake .	for god's sake
I was just gon na ride my bike for the camera .	gonna
I 'm going to need to copy all files pertaining to the Ripper Inquiry .	ripper
I , uh , got the new Poison .	connor
Are n't you my chubby champion ?	chubby
Are you in a safe place right now ?	safe place
You ca n't be doing this shit in front of my girl .	shit
He 's got so many chats , he ca n't keep his names straight .	chats
We go out there to Three Floyds , and maybe , you know , leave early , like around 3 : 00 , next Thursday or Friday , whatever you think works ... whatever works for , you know , a lot of the guys .	you know
I went to the doctor 's cos all this had happened with the pregnancy .	cos
OK , 12 o'clock every Saturday .	ok
Course they 're out if you go round , but now we 've got money , ai n't we ?	ain't
I mean , it 's gross when he turns into a bug but I love how matter-of-fact everything is .	bug
No , I do n't buy that .	i don't buy that
These youngers think Jones is such a bad man ... all ' cause he murdered Errol Cox for the Estate .	'cause
( Man 2 ) Hold him , hold him , in case he drops down , bruv .	bruv
[ whispers ] Go for it , Davey .	go for it
The whole lot of them had grown up under Thatcherism and beyond .	thatcherism
He takes the love and he hoard it , like a miser .	miser
First of all , everybody watches porn , OK ?	porn
- Who would never make a fool of himself :	fool
Kirsty , I 'm going to have to go and see my boys now , OK ?	ok
You got to be firm on this .	line
- Oh , yeah , me too , please .	yeah
We ai n't got time for no chat !	ain't
It 's a long story , can I help ya ?	ya
She 's gon na be great on game day ?	gonna
Seemed to take you forever to make it over here .	forever
You take some weak-ass kid under your wing , and you look weak too .	wing
It 's none of your business what I do .	business
Guess I 'll just smoke this joint .	smoke
♪ ' Cause nothing feels like	cause
You come with me , mister .	mister
I mean , ' cause it 's getting time to answer Nature 's page , if you know what I mean .	nature's page
You could have written for the show , 'cause it 's so up there with the best stuff .	'cause
And in that moment , I lost my equilibrium .	joneses
You 've blossomed , have n't you , love ?	blossomed
Ah , look at you two .	ah
We got ta figure this thing out .	gotta
I would introduce you , but , euhh ...	euhh
My boy BLT owns this joint .	joint
It 's really , really important to play with , like , a lot of energy and vigor , especially in this piece .	like
♪ ' cause that 's exactly what you do for me	cause
It 's in limbo , you know ?	limbo
Screw him , he destroyed this company .	screw
Now i do n't know why you 've brought a gun , if you 're stupid enough to let me see it look , i was n't gon na do anything with it wo n't mind giving to me then , will you	gonna
It 's not going to rehab clinics .	rehab
- OK , we 'll try for anyone .	ok
Everybody knows you used to shit yourself around my old man .	shit yourself
I 'm just gon na check it out .	gonna
Ugh , but I do n't want any other people in the band .	ugh
Your death will be explained away , OK ?	ok
Cutting up bitches , and shit .	bitches
Because you 'd have said no .	bloody
And I 've looked round like that , he 's turned round , full pirouette and caught his manhood right on the pot .	pirouette… manhood
You 've been in the wars , Mr. Barber ?	in the wars
But if it goes back to fundamentally what it was about , it was about us keeping driving forward , keep attacking .	driving forward
And maybe just , like , flick it ?	flick
- You 're gon na tell her that .	gonna
I want to talk about your record ,	talk about your record
She 's in America at the moment , yeah .	yeah
We 're gon na do some balloons .	gonna
I thought I 'd recognized him the CNN report of his last mega-buyout , merger , whatever , but I was n't sure .	mogul
I know I dropped the ball before a bit , but I have changed , I swear .	dropped the ball
- I 'd still treat her like a dog .	like a dog
I would like to have two eggs , sunnyside up .	sunnyside
Mr. Dawson , your lawyer just objected .	wipe
That 's a good one that , yeah ?	yeah
That , my friends , was the bitchin ' sound	bitchin'
You had an affair for four years with that fucking shrink that ruined our marriage .	shrink
Look , I know you do n't wan na talk to me .	wanna
Then leave the FP and never come back .	fp
Ai n't no fucking surprise there , is it ?	ain't
You talked about the Stones .	stones
Give me the Special K. Give me the Ketamine , man !	special k
Oh , it 's going to be a bumpy ride to Heaven and back .	bumpy ride
Old man , you better put that piece away , before you blow your toes off .	piece
I already got Jamie on it .	on it
You shocked me , 'cause I would have thought that you would have preferred	'cause
When I saw my nephew 's face , it was a major letdown .	letdown
( TV ) ' There must be some way we can ... '	tv
And '' your being scared shitless '' , that 's another gerund .	shitless
I 've had a hell of a day .	yes
Damn , I ca n't see anything .	damn
'Cause we do this , you 'll be my bitch .	bitch
Now , obviously , I ca n't stop him from doing this without going down a very dangerous legal road .	going down
We 're getting forecasts of a hurricane-force blizzard coming tonight ...	tricks
He 's gon na call us on the cell .	cell
I wish they would try something .	try something
All ya 'll motherfuckers know what I 'm talking about !	ya'll
Holy shit , that is a lot of snow !	holy shit
He killed three of our people .	terminate
Maybe not in matching Samsonites , but sooner or later , friends and foes , mothers and fathers , brothers and sisters , even me and you are all gon na get packed up .	gonna
- I just sort of muddle through my days , you know .	muddle
you 've been ages yeah , I had to earn some money , did n't i ?	yeah
My head is boiling , Mom .	boiling
Makes you bloody nervous'cause it can bloody well kill you !	bloody
- I will bring mathematical proof I can walk on water .	walk
You have the place to yourself , and , boy ...	boy
Y'all ready to rock the body electric ?	rock
We should wash that shit off .	shit
We can have a fat spliff , just cotch for a bit .	spliff
- If I get my sleep I 'd love to make time and talk about , uh , different things .	make time
Shit , when it rains , it pours .	shit
Who 'd have thought that would catch on , eh ?	eh
What if Hurricane Grace runs smack into it ?	smack
Or maybe I 'll just Google celeb nip slips .	nip slips
Do n't even test me , man !	man
I put him in the 1 2-step deal .	1 2 step deal
That 's gon na create a very bad situation for me , and you 're just acting like it 's some simple fucking thing .	gonna
He gave it to one of the subs .	subs
It 's my experience that Eatenton women got veto power .	veto power
And she swears she 'll be there with the tits , to meet him .	tits
Actually , Lulu dug up something	dug up
And now we 're back in civilization .	civilization
You think maybe you 've had enough ?	had enough
It 's great , but on you it 's gon na be like sticking a sequin on a rat 's ass .	gonna
- This Friday ... is gon na be fine for me .	gonna
- And you 're not taking the piss ?	piss
What are you gon na do when you bust up outta here ?	bust
I hope that 's not as pervy as it sounds .	pervy
My home is your home too .	my home is your home
- Be just like old times , mate .	mate
Yeah , but if it 's faster ...	yeah
I just got off the phone with Atlanta .	atlanta
- You got to throw the small ones back .	throw
I were growin ' up in the ' 80s .	growin'
He ca n't get any punch into a breaking ball because his hands are just .	punch
I 'll buy you a soppy fish if it 's that important to you .	soppy
♪ There 's no need To step foot out the burbs	burbs
we do n't have all bloody day thanks all right , make it quicker this time- i will i 'm gon na roll	bloody
♪ Bought an Independent to make me look like I got brains ♪	i got
Besides , Kenny What's-his-name slipped him a bung .	bung
`` Full participation and equality for all . '' That 's the motto .	motto
You see , one shot ... well , the bullet took a bad hop .	bad hop
- All right , Father , keep your hair on !	keep your hair on
Because he likes to get drunk every nite .	nite
Money 's a bitch that never sleeps .	bitch
You tie the knot before the stalk in his mouth .	tie the knot
Uh , yeah , but that movie that I gave you was totally ...	totally
Count the blessings in the here and now , eh ?	eh
He 's just gon na get capped one day anyway .	capped
- I 'll take care of this .	take care
You saved the tour , and that 's good enough for now , all right ?	big fell
They had us all slain , as they could .	slain
I mean ... she 's like having a pair of saggy tits .	tits
I THOUGHT YOU MIGHT HAVE BEEN PRAYING TO THE PORCELAIN GOD , MATE .	mate
Next time do n't park it in the fire zone .	fire zone
train that 's what i was gon na use the 100 pounds for to get the train	gonna
What happened with the rolling down ?	no slang was used in this sentence
We stay below and ride this thing out .	ride this thing out
Hey , hey , come back here .	hey
Gonzo , you 're the main tank .	yes
And , er , cos they wanted me and Liam to do it .	er
# I do n't know what I would have done # # without you , honey #	honey
I ai n't nobody 's bitch , Crystal .	bitch
There are certain a bit above average .	above average
We 've got ta help each other .	gotta
Just give me a bit of space , okay ?	okay
Nah , she 's hot , but it 's not a dime .	dime
- So , yeah , I 'll do that .	yeah
All of yous , get in here .	yous
Except maybe to slap her around a bit and call her a slut .	slut
Under strict rabbinical law , I have to tell you , you 've got to ask me three times so I can do it .	rabbinical law
You think you 're up for it ?	up
Blood , you 're a dunce if you kill someone for them fools .	them
Teddy must have dinged you pretty bad .	dinged
Did you bring men home ?	bring men home
And hey , why not a second home while we 're at it ?	hey
Oh , nothing , a van went into me , but , erm ...	went
Scholesy was like the joker that got away with it all the time .	joker
- Are you gon na buy any more ... ?	gonna
- I was gon na introduce you .	gonna
Yeah , I lost it all , mate .	mate
- That 's a nasty cold , Marie .	nasty
I do n't want to have one of these big things with you .	big things
